timestamp,username,ip_address,country,status,device,date,hour,failed_attempts,accounts_attempted,possible_compromise_alert,risk_score,risk_level,brute_force_alert,multiple_accounts_alert
2026-08-14 08:30:12,isabella,192.168.1.10,BR,SUCCESS,Chrome,2026-08-14,8,0,1,False,0,LOW,False,False
2026-08-14 09:10:24,maria,192.168.1.20,BR,SUCCESS,Edge,2026-08-14,9,0,1,False,0,LOW,False,False
2026-08-14 23:45:10,admin,185.22.13.10,RU,FAILED,Firefox,2026-08-14,23,5,1,False,7,HIGH,True,False
2026-08-14 23:45:20,admin,185.22.13.10,RU,FAILED,Firefox,2026-08-14,23,5,1,False,7,HIGH,True,False
2026-08-14 23:45:30,admin,185.22.13.10,RU,FAILED,Firefox,2026-08-14,23,5,1,False,7,HIGH,True,False
2026-08-14 23:45:40,admin,185.22.13.10,RU,FAILED,Firefox,2026-08-14,23,5,1,False,7,HIGH,True,False
2026-08-14 23:45:50,admin,185.22.13.10,RU,FAILED,Firefox,2026-08-14,23,5,1,False,7,HIGH,True,False
2026-08-15 02:12:00,carlos,92.100.15.80,US,FAILED,Chrome,2026-08-15,2,2,1,False,3,MEDIUM,False,False
2026-08-15 02:13:20,carlos,92.100.15.80,US,FAILED,Chrome,2026-08-15,2,2,1,False,3,MEDIUM,False,False
2026-08-15 10:15:00,ana,192.168.1.50,BR,SUCCESS,Chrome,2026-08-15,10,0,1,False,0,LOW,False,False
2026-08-15 14:20:00,joao,203.0.113.50,BR,FAILED,Chrome,2026-08-15,14,4,4,False,5,MEDIUM,False,True
2026-08-15 14:20:15,maria,203.0.113.50,BR,FAILED,Chrome,2026-08-15,14,4,4,False,5,MEDIUM,False,True
2026-08-15 14:20:30,admin,203.0.113.50,BR,FAILED,Chrome,2026-08-15,14,4,4,False,5,MEDIUM,False,True
2026-08-15 14:20:45,carlos,203.0.113.50,BR,FAILED,Chrome,2026-08-15,14,4,4,False,5,MEDIUM,False,True
